categoryName,difficulty,emoji,enabled,letter,answer
5-letter Nouns,3,📖,true,A,Apple
5-letter Nouns,3,📖,true,B,Bread
5-letter Nouns,3,📖,true,C,Chair
5-letter Nouns,3,📖,true,D,Dance
5-letter Nouns,3,📖,true,E,Eagle
5-letter Nouns,3,📖,true,F,Field
5-letter Nouns,3,📖,true,G,Grape
5-letter Nouns,3,📖,true,H,Heart
5-letter Nouns,3,📖,true,I,Igloo
5-letter Nouns,3,📖,true,J,Jelly
5-letter Nouns,3,📖,true,K,Knife
5-letter Nouns,3,📖,true,L,Lemon
5-letter Nouns,3,📖,true,M,Money
5-letter Nouns,3,📖,true,N,Night
5-letter Nouns,3,📖,true,O,Ocean
5-letter Nouns,3,📖,true,P,Party
5-letter Nouns,3,📖,true,Q,Queen
5-letter Nouns,3,📖,true,R,River
5-letter Nouns,3,📖,true,S,Stone
5-letter Nouns,3,📖,true,T,Table
5-letter Nouns,3,📖,true,U,Union
5-letter Nouns,3,📖,true,V,Value
5-letter Nouns,3,📖,true,W,World
5-letter Nouns,3,📖,true,X,Xenon
5-letter Nouns,3,📖,true,Y,Youth
5-letter Nouns,3,📖,true,Z,Zebra
6-letter Adverbs,3,🔤,true,A,Always
6-letter Adverbs,3,🔤,true,B,Boldly
6-letter Adverbs,3,🔤,true,C,Calmly
6-letter Adverbs,3,🔤,true,E,Easily
6-letter Adverbs,3,🔤,true,F,Freely
6-letter Adverbs,3,🔤,true,G,Gently
6-letter Adverbs,3,🔤,true,H,Highly
6-letter Adverbs,3,🔤,true,I,Indeed
6-letter Adverbs,3,🔤,true,J,Justly
6-letter Adverbs,3,🔤,true,K,Kindly
6-letter Adverbs,3,🔤,true,L,Loudly
6-letter Adverbs,3,🔤,true,M,Mostly
6-letter Adverbs,3,🔤,true,N,Neatly
6-letter Adverbs,3,🔤,true,O,Openly
6-letter Adverbs,3,🔤,true,P,Purely
6-letter Adverbs,3,🔤,true,R,Rarely
6-letter Adverbs,3,🔤,true,S,Safely
6-letter Adverbs,3,🔤,true,U,Upward
6-letter Adverbs,3,🔤,true,V,Vastly
6-letter Adverbs,3,🔤,true,W,Widely
6-letter Adverbs,3,🔤,true,Y,Yearly
6-letter Nouns,3,📚,true,A,Artist
6-letter Nouns,3,📚,true,B,Bottle
6-letter Nouns,3,📚,true,C,Camera
6-letter Nouns,3,📚,true,D,Doctor
6-letter Nouns,3,📚,true,E,Engine
6-letter Nouns,3,📚,true,F,Forest
6-letter Nouns,3,📚,true,G,Garden
6-letter Nouns,3,📚,true,H,Hotel
6-letter Nouns,3,📚,true,I,Island
6-letter Nouns,3,📚,true,J,Jacket
6-letter Nouns,3,📚,true,K,Kettle
6-letter Nouns,3,📚,true,L,Laptop
6-letter Nouns,3,📚,true,M,Market
6-letter Nouns,3,📚,true,N,Noodle
6-letter Nouns,3,📚,true,O,Office
6-letter Nouns,3,📚,true,P,Planet
6-letter Nouns,3,📚,true,Q,Quarry
6-letter Nouns,3,📚,true,R,Rocket
6-letter Nouns,3,📚,true,S,School
6-letter Nouns,3,📚,true,T,Ticket
6-letter Nouns,3,📚,true,U,Update
6-letter Nouns,3,📚,true,V,Valley
6-letter Nouns,3,📚,true,W,Window
6-letter Nouns,3,📚,true,X,Xylitol
6-letter Nouns,3,📚,true,Y,Yogurt
6-letter Nouns,3,📚,true,Z,Zipper
7-letter Nouns,3,📝,true,A,Airport
7-letter Nouns,3,📝,true,B,Bedroom
7-letter Nouns,3,📝,true,C,Cabinet
7-letter Nouns,3,📝,true,D,Diamond
7-letter Nouns,3,📝,true,E,Episode
7-letter Nouns,3,📝,true,F,Factory
7-letter Nouns,3,📝,true,G,Gallery
7-letter Nouns,3,📝,true,H,Hallway
7-letter Nouns,3,📝,true,I,Invoice
7-letter Nouns,3,📝,true,J,Journey
7-letter Nouns,3,📝,true,K,Kitchen
7-letter Nouns,3,📝,true,L,Lantern
7-letter Nouns,3,📝,true,M,Machine
7-letter Nouns,3,📝,true,N,Network
7-letter Nouns,3,📝,true,O,Orchard
7-letter Nouns,3,📝,true,P,Picture
7-letter Nouns,3,📝,true,Q,Quality
7-letter Nouns,3,📝,true,R,Railway
7-letter Nouns,3,📝,true,S,Stadium
7-letter Nouns,3,📝,true,T,Teacher
7-letter Nouns,3,📝,true,U,Upgrade
7-letter Nouns,3,📝,true,V,Village
7-letter Nouns,3,📝,true,W,Weather
7-letter Nouns,3,📝,true,X,Xylitol
7-letter Nouns,3,📝,true,Y,Yearbook
7-letter Nouns,3,📝,true,Z,Zipline
Animals,1,🐾,true,A,Ant
Animals,1,🐾,true,B,Bear
Animals,1,🐾,true,C,Cat
Animals,1,🐾,true,D,Dog
Animals,1,🐾,true,E,Elephant
Animals,1,🐾,true,F,Fox
Animals,1,🐾,true,G,Giraffe
