categoryName,difficulty,emoji,enabled,letter,answer
Kitchen Items,2,🍳,true,A,Air fryer
Kitchen Items,2,🍳,true,A,Apron
Kitchen Items,2,🍳,true,A,Apple corer
Kitchen Items,2,🍳,true,A,Avocado slicer
Kitchen Items,2,🍳,true,A,Aluminum foil
Kitchen Items,2,🍳,true,A,Aluminum baking tray
Kitchen Items,2,🍳,true,A,Airtight food container
Kitchen Items,2,🍳,true,A,Airtight spice jar
Kitchen Items,2,🍳,true,A,Angle measuring spoon
Kitchen Items,2,🍳,true,A,Appliance cord organizer
Kitchen Items,2,🍳,true,A,Apron hook
Kitchen Items,2,🍳,true,A,Apron pocket organizer
Kitchen Items,2,🍳,true,A,Ash wood spoon
Kitchen Items,2,🍳,true,A,Adjustable jar opener
Kitchen Items,2,🍳,true,A,Adjustable pan lid
Kitchen Items,2,🍳,true,A,Automatic soap dispenser
Kitchen Items,2,🍳,true,A,Appliance slider
Kitchen Items,2,🍳,true,A,Antibacterial cutting board
Kitchen Items,2,🍳,true,A,Acacia serving board
Kitchen Items,2,🍳,true,A,Aerating wine pourer
Kitchen Items,2,🍳,true,A,Acid brush
Kitchen Items,2,🍳,true,A,Absorbent dish mat
Kitchen Items,2,🍳,true,A,Airpot dispenser
Kitchen Items,2,🍳,true,A,Acrylic cake stand
Kitchen Items,2,🍳,true,A,Appliance drip tray
Kitchen Items,2,🍳,true,A,Artisan bread knife
Kitchen Items,2,🍳,true,A,All-purpose kitchen shears
Kitchen Items,2,🍳,true,A,Anodized saucepan
Kitchen Items,2,🍳,true,A,Anodized stockpot
Kitchen Items,2,🍳,true,A,Asian soup spoon
Kitchen Items,2,🍳,true,A,Anchor measuring cup
Kitchen Items,2,🍳,true,A,Apricot-colored mixing bowl
Kitchen Items,2,🍳,true,A,Aebleskiver pan
Kitchen Items,2,🍳,true,A,Almond milk frother
Kitchen Items,2,🍳,true,A,Anti-slip tray
Kitchen Items,2,🍳,true,A,Air-tight canister
Kitchen Items,2,🍳,true,A,Appetizer plate
Kitchen Items,2,🍳,true,A,Airtight lunch box
Kitchen Items,2,🍳,true,A,Angle spatula
Kitchen Items,2,🍳,true,A,Auto-stir mug
Kitchen Items,2,🍳,true,A,Apron strap
Kitchen Items,2,🍳,true,A,Air fryer liner
Kitchen Items,2,🍳,true,A,Absorbent coaster
Kitchen Items,2,🍳,true,A,Anise spice jar
Kitchen Items,2,🍳,true,B,Baking sheet
Kitchen Items,2,🍳,true,B,Baking dish
Kitchen Items,2,🍳,true,B,Basting brush
Kitchen Items,2,🍳,true,B,Bread knife
Kitchen Items,2,🍳,true,B,Bread box
Kitchen Items,2,🍳,true,B,Butter dish
Kitchen Items,2,🍳,true,B,Bottle opener
Kitchen Items,2,🍳,true,B,Blender
Kitchen Items,2,🍳,true,B,Boning knife
Kitchen Items,2,🍳,true,B,Bowl scraper
Kitchen Items,2,🍳,true,B,Butcher block
Kitchen Items,2,🍳,true,B,Bamboo steamer
Kitchen Items,2,🍳,true,B,Bamboo cutting board
Kitchen Items,2,🍳,true,B,Beverage dispenser
Kitchen Items,2,🍳,true,B,Bean pot
Kitchen Items,2,🍳,true,B,Bag clip
Kitchen Items,2,🍳,true,B,Biscuit cutter
Kitchen Items,2,🍳,true,B,Bundt pan
Kitchen Items,2,🍳,true,B,Broiler pan
Kitchen Items,2,🍳,true,B,Butter warmer
Kitchen Items,2,🍳,true,B,Braiser
Kitchen Items,2,🍳,true,B,Bench scraper
Kitchen Items,2,🍳,true,B,Bottle brush
Kitchen Items,2,🍳,true,B,Burger press
Kitchen Items,2,🍳,true,B,Baking rack
Kitchen Items,2,🍳,true,B,Bread bin
Kitchen Items,2,🍳,true,B,Bar spoon
Kitchen Items,2,🍳,true,B,Berry colander
Kitchen Items,2,🍳,true,B,Baking mat
Kitchen Items,2,🍳,true,B,Bean slicer
Kitchen Items,2,🍳,true,B,Brie baker
Kitchen Items,2,🍳,true,B,Bento box
Kitchen Items,2,🍳,true,B,Bowl cover
Kitchen Items,2,🍳,true,B,Bowl cozy
Kitchen Items,2,🍳,true,B,Bread lame
Kitchen Items,2,🍳,true,B,Bag sealer
Kitchen Items,2,🍳,true,B,Batter dispenser
Kitchen Items,2,🍳,true,B,Beater attachment
Kitchen Items,2,🍳,true,B,Baking mold
Kitchen Items,2,🍳,true,B,Brunch plate
Kitchen Items,2,🍳,true,B,Bamboo spoon
Kitchen Items,2,🍳,true,B,Baking cloche
Kitchen Items,2,🍳,true,B,Bread board
Kitchen Items,2,🍳,true,B,Bottle drying rack
Kitchen Items,2,🍳,true,C,Can opener
Kitchen Items,2,🍳,true,C,Chef knife
Kitchen Items,2,🍳,true,C,Cutting board
Kitchen Items,2,🍳,true,C,Colander
Kitchen Items,2,🍳,true,C,Casserole dish
Kitchen Items,2,🍳,true,C,Coffee grinder
Kitchen Items,2,🍳,true,C,Coffee maker
Kitchen Items,2,🍳,true,C,Cake stand
Kitchen Items,2,🍳,true,C,Cake server
Kitchen Items,2,🍳,true,C,Carving fork
Kitchen Items,2,🍳,true,C,Carving knife
Kitchen Items,2,🍳,true,C,Cookie scoop
Kitchen Items,2,🍳,true,C,Cookie sheet
Kitchen Items,2,🍳,true,C,Cupcake tray
Kitchen Items,2,🍳,true,C,Ceramic mug
Kitchen Items,2,🍳,true,C,Cheese grater
Kitchen Items,2,🍳,true,C,Cheese slicer
Kitchen Items,2,🍳,true,C,Citrus juicer
Kitchen Items,2,🍳,true,C,Citrus zester
Kitchen Items,2,🍳,true,C,Corn holders
Kitchen Items,2,🍳,true,C,Crepe pan
Kitchen Items,2,🍳,true,C,Cast iron skillet
Kitchen Items,2,🍳,true,C,Copper saucepan
Kitchen Items,2,🍳,true,C,Cooling rack
Kitchen Items,2,🍳,true,C,Condiment bottle
Kitchen Items,2,🍳,true,C,Condiment tray
Kitchen Items,2,🍳,true,C,Canister set
Kitchen Items,2,🍳,true,C,Countertop organizer
Kitchen Items,2,🍳,true,C,Cleaning caddy
Kitchen Items,2,🍳,true,C,Cookbook stand
Kitchen Items,2,🍳,true,C,Chopping board
Kitchen Items,2,🍳,true,C,Chip clip
Kitchen Items,2,🍳,true,C,Chopstick rest
Kitchen Items,2,🍳,true,C,Ceramic ramekin
Kitchen Items,2,🍳,true,C,Cereal dispenser
Kitchen Items,2,🍳,true,C,Crumb tray
Kitchen Items,2,🍳,true,C,Coffee tamper
Kitchen Items,2,🍳,true,C,Coffee scale
Kitchen Items,2,🍳,true,C,Cake dome
Kitchen Items,2,🍳,true,C,Cutlery tray
